,Year,Song,Singer,Lyrics,Genre
672,2016,Move,Luke Bryan,"Your mama packed y'all up and moved you to the south Packed a U-Haul cross a one-tree yard To a tin roof shotgun house You didn't know nobody, didn't talk too much Had a rocking little body with a yankee strut A little shy side, a little wild side With your long blonde hair all pulled up Then you got in with some southern belles Cut your jeans off with a rebel yell Learned the talk of the Bible belt Now, girl, I melt when you   M-O-V-E, I love it Yeah, I love it when you get that beat Boots on, stomp your feet It's like you've been waiting all week Move like you do All sexy and smooth Like you love to Oh, girl, look at you Legs and your hips Live oak moonlit When that song hits Damn, you turn it loose Stars of the southern sky Buzz of the fire and ice DJ plays that throwback tune But I can't move when you move   It's like there's something in the air That turns you wild when a country song Is way up loud and the sun goes down Right about then, you lock eyes on me You got me where you want me, where I wanna be All up in the middle of your left and right Just side to side, yeah, you're right on time when you   M-O-V-E, I love it Yeah, I love it when you get that beat Boots on, stomp your feet It's like you've been waiting all week Move like you do All sexy and smooth Like you love to Oh, girl, look at you Legs and your hips Live oak moonlit When that song hits Damn, you turn it loose Stars of the southern sky Buzz of the fire and ice DJ plays that throwback tune And I can't move when you move ",
673,2016,My Way,Calvin Harris,"[Verse] Why wait to say? At least I did it my way  Lie awake, two faced, but in my heart I understand  I made my move and it was all about you Now I feel so far removed    You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way   [Post-Chorus] My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, my way, my way   [Verse] Why wait to say? At least I did it my way  Lie awake, two faced, but in my heart I understand  I made my move and it was all about you Now I feel so far removed   You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way   [Post-Chorus] My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, my way, my way    You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way You were the one thing in my way   [Post-Chorus] My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way My way, oh way, oh way, oh way ",
674,2016,Say You Won't Let Go,James Arthur,"I met you in the dark, you lit me up You made me feel as though I was enough  We danced the night away, we drank too much I held your hair back when you were throwin' up    Then, you smiled over your shoulder For a minute, I was stone-cold sober I pulled you closer to my chest And you asked me to stay over I said, ""I already told ya I think that you should get some rest""    I knew I loved you then, but you'd never know 'Cause I played it cool when I was scared of letting go I knew I needed you, but I never showed But I wanna stay with you until we're grey and old   [Post-Chorus] Just say you won't let go Just say you won't let go   I'll wake you up with some breakfast in bed I'll bring you coffee with a kiss on your head  And I'll take the kids to school, wave them goodbye And I'll thank my lucky stars for that night   When you looked over your shoulder For a minute, I forget that I'm older I wanna dance with you right now, woah  And you look as beautiful as ever And I swear that every day, you'll get better You make me feel this way somehow    I'm so in love with you and I hope you know Darlin', your love is more than worth its weight in gold We've come so far, my dear, look how we've grown And I wanna stay with you until we're grey and old   [Post-Chorus] Just say you won't let go Just say you won't let go   I wanna live with you even when we're ghosts 'Cause you were always there for me when I needed you most    I'm gonna love you till my lungs give out I promise till death we part, like in our vows So, I wrote this song for you, now everybody knows That it's just you and me till we're grey and old ",
675,2016,Bad And Boujee,Migos Featuring Lil Uzi Vert,"[Intro: Offset & Future] You know, young rich niggas You know somethin', we ain't really never had no old money We got a whole lotta new money though, hah  (If Young Metro don't trust you, I'm gon' shoot you)  Hey  [Chorus: Offset] Raindrop (Drip), drop-top (Drop-top) Smokin' on cookie in the hotbox (Cookie)  Fuckin' on your bitch, she a thot, thot (Thot)  Cookin' up dope in the crockpot (Pot)  We came from nothin' to somethin', nigga (Hey)  I don't trust nobody, grip the trigger (Nobody) Call up the gang and they come and get ya (Gang) Cry me a river, give you a tissue (Hey)  My bitch is bad and bougie (Bad)  Cookin' up dope with a Uzi (Blaow) My niggas is savage, ruthless (Savage) We got 30s and hundred-rounds too (Grrah)  My bitch is bad and bougie (Bad)  Cookin' up dope with a Uzi (Dope)  My niggas is savage, ruthless (Hey) We got 30s and hundred-rounds too (Glah)   [Verse 1: Offset] Offset, woo, woo, woo, woo, woo  Rackaids on rackaids (Racks), got back-ends on back-ends  I'm ridin' around in a coupe (Coupe)  I take your bih' right from you (You)  Bitch, I'm a dog, roof (Grr) Beat the ho walls loose (Hey)  Hop in the frog, whoo (Skrrt)  I tell that bih' to come comfort me (Comfort me) I swear these niggas is under me (Hey) They hate and the devil keep jumpin' me (Jumpin' me)  Bankrolls on me keep me company (Cash) Ayy, we do the most (Most) Yeah, pull up in Ghosts (Woo)  Yeah, my diamond's a choker (Glah)  Holdin' the fire with no holster (Blaow)  Rick the Ruler, diamonds cooler (Cooler)  This a Rollie, not a Muller (Hey) Dabbin' on 'em like the usual (Dab)  Magic with the brick, do voodoo (Magic)  Courtside with a bad bitch (Bitch)  Then I send the bitch through Uber (Go) I'm young and rich and plus I'm bougie (Hey)  I'm not stupid so I keep the Uzi (Rrah)  Rackaids on rackaids, got back-ends on back-ends So my money makin' my back ache (Aagh)  You niggas got a low Act rate (Act)  We from the Nawf, yeah, Dat Way (Nawf)  Fat Cookie blunt in the ashtray (Cookie)  Two bitches, just national smash day (Smash) Hop in the Lamb', have a drag race (Skrrt) I let them birds take a bath, bae (Brr)  [Chorus: Offset] Raindrop (Drip), drop-top (Drop-top) Smokin' on cookie in the hotbox (Cookie)  Fuckin' on your bitch, she a thot, thot (Thot)  Cookin' up dope in the crockpot (Pot)  We came from nothin' to somethin', nigga (Hey)  I don't trust nobody, grip the trigger (Nobody) Call up the gang and they come and get ya (Gang) Cry me a river, give you a tissue (Hey)  My bitch is bad and bougie (Bad)  Cookin' up dope with a Uzi (Blaow) My niggas is savage, ruthless (Savage) We got 30s and hundred-rounds too (Grrah)  My bitch is bad and bougie (Bad)  Cookin' up dope with a Uzi (Dope) My niggas is savage, ruthless (Hey) We got 30s and hundred-rounds too (Glah)   [Verse 2: Quavo] Pour a four, I'm droppin' muddy, outer space, Kid Cudi (Drank)  Introduce me to your bitch as wifey and we know she sluttin' (Bitch) Broke a brick down, Nutty Buddy, now that nigga duckin' (Phew)  Don't move too fast, I might shoot ya (Huh?) Draco bad and bougie (Draco)  I'm always hangin' with shooters (Brrah)  Might be posted somewhere secluded (Private) Still be playin' with pots and pans, call me Quavo Ratatouille (Cook it up)  Run with that sack, call me Boobie (Run with it) When I'm on stage, show me boobies (Ayy)  Ice on my neck, I'm the coolest (Ice)  Hop out the suicide with the Uzi (Pew-pew-pew)  I pull up, I pull up, I pull up I hop out with all of the drugs and the good luck (Skrrt) I'm cookin', I'm cookin', I'm whippin' I'm whippin' until it rock up, let it lock up (Lock up)  I gave her ten racks I told her go shoppin' and spend it all at the pop up (Ten)  These bitches, they fuck and suck dick And they bustin' for Instagram, get your clout up  Uh, yeah, that way (Yeah) Float on the track like a Segway (Go) Yeah, that way (Dat way) I used to trap by the Subway (Trappin', trappin') Yeah, that way (Go) Young nigga trap with the AK (Rrah, uh) Yeah, that way (Yeah) Big dyke ho, get the door, Macy Gray (Hey) ",
676,2016,We The People....,A Tribe Called Quest,"[Verse 1: Q-Tip] We don't believe you 'cause we the people  Are still here in the rear, ayo, we don't need you  You in the killing-off-good-young-nigga mood When we get hungry we eat the same fucking food The ramen noodle  Your simple voodoo is so maniacal, we're liable to pull a juju  The irony is that this bad bitch in my lap She don't love me, she make money, she don't study that She gon' give it to me, ain't gon' tell me run it back She gon' take the brain to wetter plains, she spit on that  The doors have signs with, don't try to rhyme with  VH1 has a show that you can waste your time with Guilty pleasures take the edge off reality And for a salary I'd probably do that shit sporadically  The OG Gucci boots are smitten with iguanas  The IRS piranha see a nigga gettin' commas Niggas in the hood living in a fishbowl  Gentrify here, now it's not a shit hole  Trendsetter, I know, my shit's cold  Ain't settling because I ain't so bold but ay   [Hook: Q-Tip] All you Black folks, you must go  All you Mexicans, you must go  And all you poor folks, you must go  Muslims and gays, boy, we hate your ways  So all you bad folks, you must go  [Bridge: Phife Dawg & Q-Tip] The fog and the smog of news media that logs False narratives of Gods that came up against the odds We're not just nigga rappers with the bars It's kismet that we're cosmic with the stars   [Verse 2: Phife Dawg] You bastards overlooking street art Better yet, street smarts but you keep us off the charts So motherfuck your numbers and your statisticians Fuck y'all know about true competition?  That's like a AL pitcher on deck talking about he hittin' The only one who's hitting are the ones that's currently spittin'  We got your missy smitten rubbing on her little kitten Dreaming of a world that's equal for women with no division  Boy, I tell you that's vision  Like Tony Romo when he hitting Witten The Tribe be the best in they division  Shaheed Muhammad cut it with precision  Who can come back years later, still hit the shot?  Still them tryna move we off the fucking block Babylon, bloodclaat Two pon yuh headtop   [Hook: Q-Tip] All you Black folks, you must go  All you Mexicans, you must go  And all you poor folks, you must go  Muslims and gays, boy, we hate your ways  So all you bad folks, you must go ",
677,2016,HandClap,Fitz And The Tantrums,"[Intro] (Turn it up)  [Verse 1: FITZ] Somebody save your soul 'Cause you've been sinnin' in this city, I know Too many troubles All these lovers got you losin' control You're like a drug to me A luxury, my sugar and gold I want the good life Every good night, you're a hot one to hold  [Refrain: FITZ] 'Cause you don't even know I can make your hands clap Said I can make your hands clap  [Verse 2: FITZ] Somebody save your soul 'Cause you've been sinnin' in this city, I know Too many troubles All these lovers got you losin' control You're like a drug to me A luxury, my sugar and gold I want your sex and your affection When they're holdin' you close  [Refrain: FITZ] 'Cause you don't even know I can make your hands clap Said I can make your hands clap  [Pre-Chorus: FITZ, FITZ & Noelle Scaggs] Every night, when the stars come out Am I the only livin' soul around? Need to believe you could hold me down 'Cause I'm in need of somethin' good right now We could be screamin' 'til the sun comes out And when we wake, we'd be the only sound Get on my knees and say a prayer, James Brown  That I can make your hands clap  [Chorus: FITZ & Noelle Scaggs] That I can make your hands clap (Turn it up) That I can make your hands clap  [Verse 3: FITZ] My flesh is searchin' for your worst and best Don't ever deny I'm like a stranger, gimme danger All your wrong and your right  Secrets on Broadway to the freeway You're a keeper of crimes Fear no conviction Grapes of wrath can only sweeten your wine ",
678,2016,Ain't My Fault,Zara Larsson,"[Intro] Oh my, oh my, oh my Oh my, oh my, oh my Oh my, oh my, oh my, oh my (Hahahahaha)   It ain't my fault you keep turnin' me on It ain't my fault you got, got me so gone It ain't my fault I'm not leavin' alone It ain't my fault you keep turnin' me on I can't talk right now I'm lookin' and I like what I'm seein', got me feelin' kinda shocked right now Couldn't stop right now Even if I wanted, gotta get it, get it, get it when it's hot right now   Oh my God, what is this? Want you all in my business Baby, I insist Please don't blame me for whatever happens next   No, I-I-I-I can't be responsible If I-I-I-I get you in trouble now See, you're too irresistible Yeah, that's for sure So, if I put your hands where my eyes can't see  Then you're the one who's got a hold on me No, I-I-I-I can't be responsible Responsible   It ain't my fault Nope, nope, nope, nope Nope, nope, nope It ain't my fault Nope, nope, nope, nope Nope, nope, nope It ain't my fault   It ain't my fault you came here lookin' like that You just made me trip, fall and land on your lap Certain bad boy smooth, body hotter than a summer I don't mean to be rude, but I'd look so damn good on ya Ain't got time right now Missed me with that ""What's your name, your sign"" right now  It's light outside I just called an Uber and it's right outside    Oh my God, what is this? Want you all in my business Baby, I insist Please don't blame me for whatever happens next   No, I-I-I-I can't be responsible If I-I-I-I get you in trouble now See, you're too irresistible Yeah, that's for sure So, if I put your hands where my eyes can't see Then you're the one who's got a hold on me No, I-I-I-I can't be responsible Responsible ",
679,2016,Capsize,Frenship & Emily Warren,"[Produced by FRENSHIP & Scott Hoffman]   [Intro: Emily Warren]  Hey-ey-ey-ey-yeah Hey-ya, hey-ya, hey Hey-ey-ey-ey-yeah Hey-ya, hey-ya, hey  [Verse 1: James Sunderland with Emily Warren] Up at night I'm awake ‘cause it haunts me That I never got to say what I wanted Oh my God, oh my God  I’m not the same as I was with you  I would jump out my skin just to get you Oh my God, oh my God  [Pre-Chorus: James Sunderland] How could you have ever known if I never let it show Now I just wanna know, are you...   [Chorus: Emily Warren]  Yeah, I'm fine Drop tears in the morning  Give in to the lonely Here it comes with no warning  Capsize, I'm first in the water Too close to the bottom I'm right back where I started Said I'm fine  [Post-Chorus: Emily Warren] Hey-ey-ey-ey-yeah Hey-ya, hey-ya, hey Hey-ey-ey-ey-yeah Hey-ya, hey-ya, hey  [Verse 2: James Sunderland with Emily Warren]  Your silhouette is burned in my memory Rubble left from the moment that you left me Oh my God, oh my God And three words have never come easy ‘Cause you're more than they ever could be Oh my God, oh my God  [Pre-Chorus: James Sunderland] How could you have ever known if I never let it show Now I just wanna know, are you...  [Chorus: Emily Warren]  Yeah, I'm fine  Drop tears in the morning  Give in to the lonely  Here it comes with no warning Capsize, I'm first in the water Too close to the bottom  I'm right back where I started  Said I'm fine ",
680,2016,Key To The Streets,YFN Lucci Featuring Migos & Trouble,"[Produced by June James]   [Chorus: Quavo & YFN Lucci]  I got money way before the deal Put my bitches in new pair of heels  I might fuck your ho and pay her bills Yeah we was taught to get it how we live, yeah  I got your ho on a leash Got a plug, he Vietnamese We the niggas they wanna be  Cause we got the key to the streets We got the key to the streets Hey, we got the key to the streets We got the key to the streets Hey, we got the key to the streets   [Verse 1: Quavo] Young nigga from the Nawf (aye, Nawf yea)  Got my eye on the streets like a hawk (aye, hawk yea) Wrap ‘em, put ‘em on a boat (wrap 'em up) Boy you better not choke (boy) And there ain't no runnin' off (nawf, nawf) We got the key to the streets (streets), everybody notice me (me) Used to dream about 50 thousand in my jeans Now 50 thousand cheap to me Remember the days watching the Hot Boys and Master P  Now I’m down in Miami One phone call, I pull up on Weezy (brr)  All of my niggas with me, you feel me Straps on everybody in the building All of niggas came from dealing Or either they kicking in doors and stealing I feel like I’m not having no feelings Before the fame, seen quarter million Came from robbing pizza man At the top of apartment buildings  [Chorus: Quavo & YFN Lucci] I got money way before the deal Put my bitches in new pair of heels  Ho-ho, ho-whoa, I might fuck your ho and pay her bills Yeah we was taught to get it how we live, yeah  I got your ho on a leash Got a plug, he Vietnamese We the niggas they wanna be  Cause we got the key to the streets We got the key to the streets Hey, we got the key to the streets, yeah (Oh) We got the key to the streets Hey, we got the key to the streets, hey, yeah, (Oh)   [Verse 2: YFN Lucci] I’m from the dirty, we play dirty  All these sticks they dirty , we don’t fight, get murdered If my niggas said, ""Fuck you,"" then I’m sorry for you If my niggas ain’t fucking, then get out ho, hurry Real trapper, never seen a drought, we gon’ ship ‘em out  Any problem, we gon’ air ‘em out, what they talking ‘bout?  We don't count and weigh it now, no we ain’t servin’ no ounce We sip purple, we ain’t never out, we ain’t never out, hey, ayy Hit up Quavo, we gon’ need another bando I’ma flood that bitch with more keys than a piano, yeah  All these bitches say they love me, I’m so handsome Yeah they know ‘bout Lucci, go and ask 'em, they gon tell ya, yeah ",
681,2016,Star Of The Show,Thomas Rhett,"Walkin' down the street, hand in mine It don't keep them other guys And their wanderin' eyes from lookin' at you But it's alright and that's okay Who could blame 'em anyway? You're so pretty and you ain't even got a clue   'Cause everywhere we go, girl, you're the star of the show And everybody's wonderin' and wantin' to know What's your name? Who's that girl with the prettiest smile in the world? Girl, what gets me the most is you don't even know That you are, you are, you are the star of the show You're the star of the show, baby, yeah, yeah   Friday night on the town We walk in and you draw a crowd Even the band seems to sing for you Ease on up and order a drink Barkeep says, ""It's all on me"" You look at me and laugh like you don't know what to do Baby, you're so cute   'Cause everywhere we go, girl, you're the star of the show (Star of the show) And everybody's wonderin' and wantin' to know (They want to know) What's your name? Who's that girl with the prettiest smile in the world? Girl, what gets me the most is you don't even know That you are, you are, you are the star of the show (Ooh) You're the star of the show, baby, yeah, yeah (Ooh)   Even in a ponytail, in a pair of jeans You're lookin' like a cover of a magazine Baby, you're the only one who doesn't see   That everywhere we go, girl, you're the star of the show And everybody's wonderin' and wantin' to know What's your name? Who's that girl with the luckiest guy in the world? Girl, what gets me the most is you don't even know That you are, you are, you are You are, you are, you are Baby, you are, you are, you are the star of the show (Ooh) Don't you know you're the star of the show, oh, oh, baby (Ooh)   Mm, ooh (Ooh) Oh-oh, oh-oh (Ooh) ",
682,2016,What They Want,Russ,"[Produced by Russ]   [Intro] Yeah (Ooh) Yeah (Oh) They let us in the rap game (Yeah, yeah, yeah, yeah) I swear they let me in this motherfucking rap game (Mmm, yeah, yeah)    Got a chick, I call her Lola, she feel like the ocean  Like to drink and smoke some doja and I feel like smoking  Plus she good at charming cobras , I feel like I'm chosen But she ain't the only one, no  Got a chick, I call her Katia, she be acting bougie Then she came through and topped me off, now she just a groupie  Got the aura of the Mafia, her friends wish they knew me But they ain't the only ones, no, no   What they want, what they want, what they want Dollar signs, yeah, I know it's what they want What they want, what they want, what they want Y'all ain't fooling me at all, ooh, ooh, ooh, ooh     I been at this shit for nine years, now they start to call I'm a DIY pioneer, they trying to get involved  Yippee ki-yay, ahh yeah, 'bout to set it off I'm probably the only one, yeah  Come correct when you approach me, I can size you up  Taking all the shots like Kobe, almost 81  Guess I got to play the goalie and go and save me some I'm probably the only one, yeah   What they want, what they want, what they want Dollar signs, yeah, I know it's what they want What they want, what they want, what they want Y'all ain't fooling me at all, ooh, ooh, ooh, ooh    Who wants my money? I'll tell you who I don't fuck with Who's pulling strings? I'm just pointing out all the puppets What I'm demanding is fucking up all the budgets I'm smart as fuck, they be talking like I'm the dumbest  But I know what they want from me, dollars, lot of stock in me It ain't nothing personal, it's business and I'm a commodity But honestly, Pop Pop would be turning in his grave The day I let someone else become the boss of me When there's a boss in me, I'll be damned    What they want, what they want, what they want Dollar signs, yeah, I know it's what they want What they want, what they want, what they want Y'all ain't fooling me at all   Ooh, ooh, ooh, ooh ",
683,2016,Vice,Miranda Lambert,"[Intro] Sting of the needle dropping on a vinyl Neon singer with a jukebox title full of heartbreak  33, 45, 78  When it hurts this good you gotta play it twice Another vice   All dressed up in a pretty black label  Sweet salvation on a dining room table Waiting on me Where the numb meets the lonely  It's gone before it ever melts the ice  [Chorus 1] Another vice, another call Another bed I shouldn't crawl out of At 7 AM with shoes in my hand Said I wouldn't do it, but I did it again And I know I'll be back tomorrow night, oh    I wear a town like a leather jacket When the new wears off, I don't even pack it If you need me I'll be where my reputation don't precede me  Maybe I'm addicted to goodbyes  [Chorus 2] Another vice, another town Where my past can't run me down Another life, another call Another bed I shouldn't crawl out of At 7 AM with shoes in my hand Said I wouldn't do it, but I did it again And I know I'll be gone tomorrow night Mm, another vice   Standing at the sink, not looking in the mirror Don't know where I am or how I got here Well, the only thing that I know how to find Is another vice   Mm, another vice Yes, another vice Ooh, another vice Another vice Another vice Another vice ",
684,2016,Litty,Meek Mill Featuring Tory Lanez,"[Intro] Sound M.O.B  [Verse 1: Meek Mill] Woo! I'm on my way to an island and I'm poppin' shit at the pilot (Fly shit only)  Niggas be broke and be starvin' but still talkin' shit like they violent (Niggas is broke!) They said that they honest, talk money, these niggas gon' say that they got it (Huh?)  Gettin' out with the key to success and these niggas gon' blame it on Khaled They don't wanna see you win (They don't!) They don't wanna see the Wraith (No!) You don't wanna see your bitch caught up in the stars like she outer space  Mansion at the condo, condo at the mansion, and I'm runnin' out of space  Tell your homie, keep on comin' out his mouth, I'm sendin' somethin' 'round his way (Brrt) Niggas barely getting lawyer money (Woo) Better get some Sig Sauer money  Running 'round like you Superman, don't be selfish, get your mom insurance money (Ha!) Woo, 'cause I'm the one to put it on your money I'm the one that make it happen it to you niggas, would you fuck around and do it for me?   [Chorus: Tory Lanez] Yeah, hopped in the Wraith and I bought it, it's litty again Fly out a bitch from the tropics, get litty again All of my parties is poppin', you know that we litty again All of the foreigns on Collins, you know that we litty again  They don't wanna see the squad (We lit) They don't wanna see the Wraith (We lit) They don't wanna see your bitch up in the stars like she goin' outer space  Litty again, litty again, I got it, we litty again (We lit) Litty again, litty again, I got it, we did it, we litty again  [Verse 2: Tory Lanez]  Feature money out the safe, went and brought a Wraith, brought it down Collins  Niggas talkin' like they want it, when we in the city, they don't want problems Niggas said they gon' rob us But nigga, we comin' from welfare I shoot a mullet when I pull it, how you catch a bullet like a NFL player?  Should've known it was litty when bitches start lyin' on my dick Lie on that pussy like I hit Can't even be a side, side bitch I'm hittin' 9s, 10s, and you ain't even looking like you a 5  Broke bitches tryna do it for Twitter, when they used to do it for Vine, woah!  I'm the man of the hour, I'm the nigga with the airtime  Rolls Royce Wraith, put your bitch up in the stars like she in the airline  Niggas talkin' 'bout my hair line, I laugh about it, I be feelin' them See, we both be making M's: they be makin' memes, I be makin' millions  I just counted up a Quentin Miller A ""QM"", that's a quarter milli  They don't wanna see Jae drop ""6,"" fly private when he go to Philly Funny money, yeah I know it's silly, but your ho feel me When I pull up and I got a pour a whole four on it I promise she gon' know it's litty, motherfucker, yeah  [Chorus: Tory Lanez] Yeah, hopped in the Wraith and I bought it, it's litty again Fly out a bitch from the tropics, get litty again All of my parties is poppin', you know that we litty again All of the foreigns on Collins, you know that we litty again  They don't wanna see the squad (We lit) They don't wanna see the Wraith (We lit) They don't wanna see your bitch up in the stars like she goin' outer space  Litty again, litty again, I got it, we litty again (We lit) Litty again, litty again, I got it, we did it, we litty again ",
685,2016,Setting Fires,The Chainsmokers Featuring XYLO,"[Verse 1: XYLØ] Down to my last match fire I'll touch just to feel Why's it easier to burn than it is to heal?  [Pre-Chorus: XYLØ] Out in the cold you have been  I've begged you to come back in But I can't do this again  [Chorus: XYLØ] I can't keep you from harm But I'm set on fire to keep you warm I can't go on and on Setting fires to keep you warm  I can't keep you from harm But I'm set on fire to keep you warm I can't go on and on Setting fires to keep you warm  [Post-Chorus: XYLØ] I can't I can't go on and on Setting fires to keep you warm   [Verse 2: XYLØ] I've been looking for answers I don't want to hear Chest to chest with you, I'm staring into a mirror  [Pre-Chorus: XYLØ] Out in the cold you have been  I've begged you to come back in But I can't do this again  [Chorus: XYLØ] I can't keep you from harm But I'm set on fire to keep you warm I can't go on and on Setting fires to keep you warm I can't keep you from harm But I'm set on fire to keep you warm I can't go on and on Setting fires to keep you warm   [Post-Chorus: XYLØ] I can't I can't go on and on Setting fires to keep you warm   [Bridge: XYLØ] What would I do What wouldn't I do to save you What would I do What wouldn't I do to save you ",
686,2016,Selfish,PnB Rock,"[Intro] Oh, oh Oh, oh, oh yeah I want you all to myself You don't need nobody else I want you all to myself, I swear, yeah Oh yeah Yeah, yeah, yeah   I'm selfish I want you all to myself, I swear You don't need nobody else, I swear I want you all to myself because I'm selfish, yeah I want you all to myself, I swear You don't need nobody else, I swear I want you all to myself, I swear, I'm selfish I want you all to myself, I swear You don't need nobody else, I swear I want you all to myself because I'm selfish, yeah I want you all to myself, I swear You don't need nobody else I want you all to myself   Now, that I got you here, girl, I ain't gon' play with you Because it's a lot of things that I wanna say to you Girl, you know you the shit, Balenciagas on your kicks Niggas all on your dick, but we ain't gon' trip  'Cause I'm not ready for no commitments (Nah, nah) But I swear I hate seeing you with them (Yeah, yeah)  And I know you ain't tryna control me And I know you tired of being lonely I can't help how I feel, I'm just keeping it real They can't have you, girl, because—   I'm selfish I want you all to myself, I swear You don't need nobody else, I swear I want you all to myself because I'm selfish, yeah I want you all to myself, I swear  You don't need nobody else, I swear I want you all to myself, I swear, I'm selfish I want you all to myself, I swear You don't need nobody else, I swear I want you all to myself because I'm selfish, yeah I want you all to myself, I swear You don't need nobody else I want you all to myself   Shawty, I'm selfish, can't help it You know I get stuck when you come around  And them niggas be sick 'cause we be on some shit Yeah, they know I'm gon' hold it down Pull up in the whip Tell you hop in with your friends, we gon' go to my crib  Have my chef cook us up a dinner  Girl, you know you fuckin' with a winner I ain't nothin' like these lames, I swear Name a place, I could take you there  I'd do anything to make you laugh And you can have anything, just ask But just know that I'm selfish And I swear I can't help it But it's all for you Yeah, it's all for you ",
687,2016,How I'll Always Be,Tim McGraw,"I'm a little more beer bottle beer joint than a fancy bar I'm a little more sitting up high on the road than a little car I'm a little more bust ya back than take it for free And that’s how I'll always be I'm a little more lose my temper than to sit on back I'm a little more ol' Hank Williams than that trendy crap I love a flat wood ol' front porch made of an old oak tree And that's how I'll always be   I'll always be a fan of ol' stray dogs and guitars playin' One room churches, back road walks and front porch swingin' Sunset skies, bonfire nights, I love the simple things That's how I'll always be   I got friends that say I live a little like Cool Hand Luke Fast cars and motorcycles, raisin' hell in cowboy boots  But, hey, on Sunday morning, I'll take the back row seat That's how I'll always be   I'll always be a fan of ol' stray dogs and guitars playin' One room churches, back road walks and front porch swingin' Sunset skies, bonfire nights, I love the simple things That's how I'll always be   I'm a fan of chert rock bouncing off a Chevy fender That feeling that you get that first time she lets ya kiss her Rusty roofs that rattle when the rain is fallin' down Handshake deals, fresh-cut hay fields, and hometowns   I'll always be a fan of ol' stray dogs and guitars playin' One room churches, back road walks and front porch swingin' Sunset skies, bonfire nights, I love the simple things That's how I'll always be That's how I'll always be That's how I'll always be That's how I'll always be ",
688,2016,My Sh*t,A Boogie Wit da Hoodie,"In my bag now, In my bag now What the fuck is that sound? What the fuck is that sound?  Brought the MAC out, niggas sat down I got shit I never had now, I could brag now Got my bitch a Louis bag now, she could brag now Bought my bitch a Birkin bag now, she a brat now  Now I'm sitting in the club in a different bag now Baby, when I pick it up, you gon' put that ass down Tell 'em you don't give a fuck, baby, spin that ass 'round Tell the DJ turn it up, what the fuck is that sound? A Boogie Wit Da Hoodie and it's always foreign Yeah, I know she like my style, them other niggas boring When I pull up it go skrrt-skrrt, that's a foreign  When I pull up on a red light, they don't want it Yeah, I came up from the mud and my baby know that Introduced her to my plug now she think she all that When I first hit her up, no, she nevеr wrote back Then I saw her at thе club, so I got up on that  Now every time they play this song she say, ""This is my shit"" See the flick of my wrist And I know she know wassup baby this is my shit See the flick of my wrist  They know that's my bitch, that's a fact and she stuck with me When you in my section, fill it up when my cup empty I can't fuck with rats, that's a fact, that's a dub nigga All about my F can't put water over blood nigga  Trust me it get ugly If I wasn't getting money, would you still want me? If I told you I was broke, would you start acting funny? This is all I ever wanted, you can't take it from me  Now every time they play this song she say, ""This is my shit"" See the flick of my wrist And I know she know wassup baby this is my shit See the flick of my wrist ",
689,2016,80s Mercedes,Maren Morris,"Still runs good, built to last  Moves like a hula girl on the dash  She ain't made for practicality Yeah, I guess she's just like me   [Pre-Chorus 1] It's Saturday night, about time to go Got my white leather jacket and a neon soul  Once I turn on the radio, I'm ready to roll, r-ready to roll   Feel like a hard-to-get starlet when I'm driving Turning every head, hell, I ain't even trying Got them Ray-Ban shades, pretty in pink  Call me old school, but hey I'm a 90s baby in my 80s Mercedes I'm a 90s baby in my 80s Mercedes   Pop the top down like a summer dream She's my teenage time machine  Just keeps getting sweeter with age She's classic through any decade  [Pre-Chorus 2] The sun's in the sky, glitter on the seats You can try, but the Benz is hard to beat So, hey, if you want you can ride with me, r-ride with me   Feel like a hard-to-get starlet when I'm driving Turning every head, hell, I ain't even trying Got them Ray-Ban shades, pretty in pink Call me old school, but hey I'm a 90s baby in my 80s Mercedes I'm a 90s baby in my 80s Mercedes  [Pre-Chorus 1] It's Saturday night, about time to go Got my white leather jacket and a neon soul Once I turn on the radio, I'm ready to roll, r-ready to roll   Feel like a hard-to-get starlet when I'm driving Turning every head, hell, I ain't even trying Got them Ray-Ban shades, pretty in pink Call me old school, but hey I'm a 90s baby in my 80s Mercedes I'm a 90s baby in my 80s Mercedes ",
